	RDC_C	RDC_N
pp_106960	3.7345355183333333	3.582105960333333
pp_86027	3.383075730333333	3.245598933333333
pp_104733	3.5199846646666666	3.3674470273333332
pp_214193	1.606824942	1.687281265
pp_146431	3.0415475686666666	3.1692849666666665
pp_105396	5.267823326333334	5.053817736333333
pp_64875	3.8341774706666665	4.001670175
pp_164045	12.002856379999999	12.531046849333332
pp_119531	2.401803677333333	2.5448191876666666
pp_56493	1.1794048606666667	1.2451708776666666
pp_216837	16.776718323333334	17.36903296
pp_143844	14.273141986666667	14.758069516666666
pp_193145	5.239512682666667	5.0481818160000005
pp_92409	4.041206164666667	4.574456263
pp_96018	10.524400575666666	11.042074747666668
pp_141783	13.737385703333333	14.315052948
pp_97417	2.400977574	2.5608097229999998
pp_191891	14.870617263333333	14.29078439
pp_142239	0.023071418333333333	0.03256045466666667
pp_188737	2.218905757	2.426014873
pp_72207	5.476087534666667	5.671987281
pp_88331	7.895191644333334	8.370276130333334
pp_164588	1.1972446176666667	1.1284364583333333
pp_113665	1.8704548243333334	1.7672722846666666
pp_92561	24.65276924	23.590241849999998
pp_235825	11.766602179333333	11.341123118666667
pp_120299	3.0318810346666667	3.1716810016666668
pp_205679	5.244440121333334	5.596054809666667
pp_135315	2.165930753	2.298258091
pp_201064	4.110952666666667	3.956135526
pp_56725	2.802845903	2.6948433063333335
pp_199010	18.412765723333333	19.349925077
pp_110670	6.133557214	5.917182484333334
pp_137657	2.1183429436666668	2.0311535696666665
pp_135106	12.591897790333334	13.227997483333333
pp_77778	226.07232246666666	236.0094914
pp_86164	3.215896739	3.0851789663333333
pp_239524	2.4661583673333336	2.335625673
pp_119556	4.161526157333333	3.9568958763333333
pp_210335	0.6488439603333334	0.6928803436666666
pp_205998	1.6532980373333332	1.8002570613333335
pp_186116	4.027376834666667	4.199144792333334
pp_56729	1.938650167	2.1802216963333336
pp_142425	2.167445834	2.0794257923333332
pp_66265	1.5963603843333332	1.6707844256666666
pp_59981	1.8985461586666668	1.70111769
pp_136435	21.924999026666665	21.015735453333335
pp_223231	1.401526345	1.3336563986666667
pp_246776	12.279282568000001	11.593062988333333
pp_87084	4.068535314	4.218882244666666
pp_168982	1.8913798546666667	1.775169039
pp_89210	58.70727551	60.81662267
pp_249443	17.21698054	17.876766276666668
pp_87059	2.6514493446666667	2.5229349196666666
pp_177888	1.2514818563333334	1.046487093
pp_136256	5.569305355333333	5.766971248333333
pp_218571	4.449649067666667	3.9083585283333333
pp_92367	4.832862136999999	4.643069787666667
pp_145567	1.7936621663333332	1.717828514
pp_192832	48.478561160000005	46.760898266666665
pp_227208	22.528476773333335	23.889319916666665
pp_79560	2.0936012743333334	1.9347171623333332
pp_117124	5.310004681	5.586364387333333
pp_226711	17.29468828	18.073582706666667
pp_246778	7.498558594333334	7.034711780333334
pp_233219	5.162785930666667	4.95912578
pp_188984	87.27227584333333	91.22027511333334
pp_209355	2.3894929916666667	2.287720959
pp_135174	12.942799703333334	12.476279217333333
pp_111251	1.4685888616666667	1.543988751
pp_131813	1.806713702	1.732214553
pp_154261	2.786695952666667	2.9407459203333333
pp_91845	10.953811264333334	12.089536509666667
pp_233377	4.389407377333333	4.606226145333333
pp_152267	1.1330199173333333	1.2103137666666668
pp_86868	4.523050136	4.346403743
pp_78673	0.5915651203333333	0.659408765
pp_247854	8.802359050666666	8.436116395
pp_243677	0.4441881973333333	0.4918783073333333
pp_206424	1.386197044	1.2930210276666667
