	RDV_C	RDV_N
pp_173561	2.0315175893333333	1.9782506786666667
pp_62486	2.4851455896666668	2.544705242
pp_203632	9.835632294	10.008989525333334
pp_98646	2.09245661	2.132558270666667
pp_84857	0.11945409400000001	0.11223212566666667
pp_189080	9.072406785666667	8.919855555333333
pp_148865	2.4710714276666668	2.566344141333333
pp_244672	32.17876620333333	32.72773159333333
pp_179060	22.424011413333332	21.842875636666665
pp_205745	11.364489846666666	11.539259546666667
pp_189368	6.573960641	6.379305997333334
pp_152166	3.826839244666667	3.9019224483333335
pp_231958	0.721328408	0.7436691113333334
pp_159274	1.595454026	1.6303494749999998
pp_213912	1.1414676706666667	1.1139160623333333
pp_202361	2.43653485	2.4962991936666667
pp_87016	2.229984796	2.181305334
pp_198673	1.4448894666666665	1.4787500416666668
pp_151963	3.1003545913333332	3.163231869
pp_232218	164.1428532	160.94307842666666
pp_216887	0.11501871466666666	0.10633122633333333
pp_211615	3.3833411483333333	3.3009139100000002
pp_136665	2.572576978	2.512597340666667
pp_240580	2.8753221546666667	2.824311937
pp_170460	2.2283674086666667	2.2666864336666666
pp_187747	2.5602758476666665	2.503638783
pp_58761	722.8309414333334	710.838729
pp_64689	1.169717352	1.1970832916666667
pp_179812	4.274777196333333	4.34506617
pp_154845	17.87423981	18.25430191
pp_215569	9.250598856333333	8.950142058666666
pp_111435	89.28934942666667	90.80580852666667
pp_128304	16.548306166666666	16.283482973333335
pp_152833	1.2677496726666666	1.3120236926666666
pp_125347	23.5655434	23.153789413333335
pp_206024	2.600892426	2.656615318
pp_219238	15.347280013333332	15.57820116
pp_208887	2.6141941903333334	2.676988733
pp_152337	2.8228156743333335	2.7628149023333335
pp_229705	6.911680661	7.026242208999999
pp_245088	20.170916603333332	19.867998613333334
pp_214363	4.317395119333333	4.394142919
pp_197685	1.12518509	1.1668920703333334
pp_85606	1.905374023	1.9573698926666667
pp_177751	29.319335776666666	28.637317563333333
pp_194612	152.06871193333333	149.88684603333334
pp_86864	14.113111763333333	13.87095005
pp_202472	3.6299608973333335	3.688583901
pp_203643	2.8609039666666667	2.813416439
pp_179793	5.287965682	5.375373374333334
pp_170513	4.212643223666666	4.278375878666667
pp_202658	9.279609372	9.547800286333333
pp_198981	19.499188313333335	19.776080973333332
pp_127861	0.340687847	0.37166271533333334
pp_237521	5.292964846666666	5.213483496333334
pp_72568	3.3481706266666666	3.275406853333333
pp_222821	0.9191375783333333	0.9488094346666667
pp_236868	1.4182628976666667	1.4470506176666666
pp_56822	2.5102389709999997	2.4678573073333334
pp_142035	13.239157228333333	13.792434078333333
pp_199295	0.5431665263333333	0.573586289
pp_124413	0.2753020076666667	0.26420817966666665
pp_188693	12.645238776666666	12.467550276666667
pp_134998	6.086097330666666	6.184201881666667
pp_132010	26.08076235	26.48414154
pp_203466	10.054283261333333	9.538353070333333
pp_219576	7.106022407	7.210389686
pp_219370	7.768086300666666	7.904749908333334
pp_181288	4.170940393666667	4.097653963
pp_76155	215.78218336666666	211.7812068
pp_109298	2.1171401403333334	1.9796956343333334
pp_100830	1.1362885166666667	1.164209641
pp_227501	6.900717131666666	6.789466292
pp_132035	3.133792031	3.1997777986666667
pp_119594	0.821336461	0.846289533
pp_248259	3.1336164336666665	3.080938447333333
pp_79637	4.340812702333333	4.128670072333334
pp_184772	16.337496156666667	16.643193959999998
pp_70173	8.77539187	8.641196514333334
pp_166844	9.792006534	9.637300326666667
pp_163768	6.803595691666667	6.651839672333334
pp_92268	1.550601999	1.60547695
pp_206121	13.323835023333334	13.52828682
pp_134979	2.559834794	2.6170469526666666
pp_85423	2.6051863516666667	2.5195039983333336
pp_242391	334.6036473	329.97417313333335
pp_96750	0.327398827	0.3368377043333333
pp_215030	2.3260786016666666	2.3683529806666668
pp_142334	19.53928512	19.26211845
pp_235275	0.6686191433333334	0.643896222
pp_171173	17.94494419666667	17.55339142
pp_96544	9.045403366	8.918604183
pp_76955	0.8082373496666666	0.8524319696666667
pp_83515	3.072541711	3.133265735
pp_58503	4.645039461333334	4.717384719666667
pp_182155	2.178694573	2.220957982333333
pp_135440	41.21560786333333	42.008915550000005
pp_217139	7.961138777	7.804571345333334
pp_245310	1.9201833363333334	1.882743909
pp_200004	20.53933456	20.20941247
pp_212152	3.9737037049999997	4.102017276
pp_212072	200.06066186666666	195.17648627333332
pp_124317	5.4208242496666665	5.605605862666667
pp_197779	7.522949522333334	7.351034877666667
pp_186310	14.213817846333333	13.822976971
pp_142905	7.160293398666667	7.328296945333333
pp_205414	20.497209233333333	20.897144136666668
pp_189158	2.0923623116666668	2.015695487
pp_39778	27.94149074	27.45322670666667
pp_120475	27.40790765	27.883872456666666
pp_235338	4.603563534	4.519054844999999
pp_119832	8.951610863666668	8.812781412333333
pp_64875	3.7170382196666667	3.7832060203333335
pp_129758	1.2041054536666667	1.2334328783333333
pp_234821	1.6028572616666668	1.5723712343333334
pp_188674	16.313712053333333	16.071342046666665
pp_246106	7.197295577666666	6.968644394666667
pp_154490	11.276868613333333	11.108412175333333
pp_90328	1.824931846	1.7852223743333333
pp_212176	2.2126615739999997	2.1713932106666665
pp_95538	0.977011649	1.010677038
pp_216037	2.5161947093333334	2.4747254393333336
pp_138081	35.46790902	34.77556253
pp_66247	705.3507854	715.0887492666667
pp_220059	2.1251859096666665	2.1618803250000003
pp_158328	1.8626018913333335	1.9042321056666667
pp_152172	80.90478746000001	79.79431272666666
pp_218364	12.898766536666667	13.159444337666667
pp_153431	0.12698296266666667	0.119560619
pp_137069	1.5798595229999999	1.6268976646666666
pp_83396	4.086715251333334	4.1525158756666665
pp_105217	10.887691353333333	11.047759875333334
pp_233741	2.6182940786666666	2.6933362686666666
pp_96342	1.4741569653333333	1.5286352593333334
pp_170638	3.9060052433333334	3.8471550226666666
pp_93737	17.92670345333333	18.177294003333333
pp_152138	2.4978221929999997	2.4559097743333336
pp_65122	182.4438974	179.01040856666668
pp_238556	1.011596773	1.036512388
pp_222820	0.9398398379999999	0.9145788063333333
pp_196329	19.01002372	19.38282571
pp_193226	2.3903680726666665	2.3487969873333334
pp_122478	0.9343437616666667	0.9740705263333334
pp_73731	659.6090868666666	683.7720737
pp_120393	151.73348713333334	154.01604203333335
pp_86036	2.7475126243333334	2.792381509333333
pp_179782	3.8199712960000003	3.9060638066666664
pp_177498	31.743126803333336	32.21348893333334
pp_247978	2.404916201333333	2.360247661333333
pp_154411	5.829622983666666	5.5579978683333335
pp_147747	1.692130163	1.628617713
pp_86514	0.306922129	0.287929637
pp_165698	11.826955810000001	11.63657043
pp_184001	2.7772512726666667	2.701223689
pp_98551	25.911071286666665	26.27082369
pp_82166	0.7000208353333333	0.667866873
pp_132413	245.6139052	240.2598073
pp_179055	0.266471228	0.256571303
pp_154886	2.9260014043333333	2.988224661
pp_174540	3.8538055866666667	3.942663821
pp_145035	2.517422424333333	2.464916542
pp_216619	3.3861447626666665	3.33325324
pp_208838	2.9793059133333335	2.9292867056666667
pp_66098	11.358678452666666	11.650235998666666
pp_164581	0.25896089466666666	0.24611121233333333
pp_96564	14.711331549999999	14.935037613333334
pp_74045	4.449452955	4.534313075333333
pp_162155	4.705187556	4.8572788136666665
pp_68452	3.1464072013333335	3.098179064
pp_134784	2.3468849366666666	2.2745740126666667
pp_196928	1.7486538489999999	1.7085568826666666
pp_68535	0.9463180313333333	0.9833680286666666
pp_141945	1.5907801986666668	1.7286252183333333
pp_169308	1.3412939326666666	1.3838754253333332
pp_233497	33.200760259999996	32.701694073333336
pp_233359	13.719507643333333	13.512483866666667
pp_246799	1.7693561263333333	1.8489528813333331
pp_223531	2.8088000703333336	2.7421982513333334
pp_227714	1.2360924986666666	1.203029831
pp_75139	34.79994430333333	35.625071606666666
pp_208300	4.2379179460000005	4.1637763759999995
pp_234478	2.5296093143333334	2.4677333206666665
pp_173539	4.93523789	5.014587210666667
pp_145599	11.236591767	11.058290569666667
pp_73756	3.6683189796666666	3.752346807
pp_68979	0.8028083076666667	0.7530572566666667
pp_82132	9.815925134	9.638787228666667
pp_127860	0.692913097	0.741192806
pp_72744	4.213306985333333	4.136162562666667
pp_219409	0.490707109	0.458121176
pp_97957	9.736414999666666	9.575178346333333
pp_207999	10.902704823333334	11.064516591333334
pp_178231	38.77072994666667	38.25519065333334
pp_235448	3.9832882483333334	4.068685528666666
pp_68162	1.6728626456666666	1.727638095
pp_206041	2.457890922666667	2.508684182
pp_184215	2.1458467543333333	2.1865768623333333
pp_208772	49.23447422666667	50.14181863
pp_145058	4.143944095	4.235735222000001
pp_144629	3.5924935706666665	3.5345087046666666
pp_73600	1.047312501	1.0765372496666665
pp_227294	1.273452717	1.309008871
pp_86818	36.36456215333333	35.88297918
pp_160188	145.00364296666666	142.84626136
pp_88015	9.936876391666667	9.762837973333333
pp_218744	7.030178247333334	6.875833162666667
pp_216843	4.537640964666666	4.6100008
pp_89239	6.88769226	6.706327169666666
pp_201118	2.44358262	2.399123717666667
pp_81912	1.1247596633333334	1.093647074
pp_202788	42.53826055	41.973706613333334
pp_64550	84.15069913666667	85.33320675333333
pp_173142	54.98211007	55.867580440000005
pp_212561	20.912798446666667	20.592021173333332
pp_136620	1.9162861703333334	1.8870262660000001
pp_76203	64.74163369	63.739943903333334
pp_96504	5.346771898	5.265127905333333
pp_122516	121.31537473333334	119.47247971333333
pp_194917	2.1392358036666668	2.099612517
pp_180558	15.141001215000001	15.891208402
pp_67535	0.095024522	0.10107723
pp_147683	103.91747378333334	101.92511946333333
pp_110445	21.888505563333332	22.32120061
pp_45521	0.8795217473333333	0.849426524
pp_237520	2.0617301743333334	2.107729240333333
pp_206232	15.19551755	14.984317840000001
pp_214078	3.919138637333333	3.860132535
pp_111183	14.634175756666666	14.229036557
pp_234027	16.039512063333333	15.78703889
pp_208815	1.589204237	1.5584926766666667
pp_58134	8.96206473	8.771151692666667
pp_194850	1.0999446796666668	1.1320848246666666
pp_128967	3.9731369746666667	3.8576617956666666
pp_138820	0.5853861616666667	0.6068058816666666
pp_100665	0.6554686316666667	0.630974787
pp_167542	76.07919774333334	75.04224202
pp_103834	1.1045956353333333	1.1346272216666666
pp_206291	0.5117476686666667	0.4966899106666667
pp_138606	6.106568350666667	6.199436027333333
pp_136459	9.344312519333334	9.569773404666666
pp_198078	2.1633199063333333	2.215192474
pp_65929	8.716255717	9.070807466333333
pp_117278	16.057638946666668	15.761420696666667
pp_122488	3.2603966956666666	3.330627952
pp_219195	31.584291373333336	32.235558473333334
pp_148387	57.5226476	59.26378327
pp_155609	168.04675616666665	160.45384727
pp_62016	1.996521284	1.955815297
pp_152613	1.630134808	1.659890236
pp_128875	7.363959788666667	7.208812048
pp_85676	7.335111092666667	7.079731710333333
pp_225312	3.3158896223333336	3.258913776
pp_136834	2.7074243393333335	2.7628013523333332
pp_180820	30.238870296666665	29.76906383
pp_76375	3.9397438950000003	4.029514330333333
pp_246103	2.701497195	2.652594854333333
pp_223379	1.2628475246666666	1.2898026856666667
pp_120218	0.10811795533333333	0.10093988533333333
pp_199025	11.821913706666667	12.002762939
pp_181289	1.536556413	1.5815782103333333
pp_118031	5.1393854186666665	4.8496593463333335
pp_144803	28.909847676666665	29.300807893333335
pp_155429	2.543018246	2.4671392683333333
pp_79634	122.9671245	129.09676862333333
pp_223124	5.8644710343333335	5.952290290333333
pp_136190	5.572833592	5.47018625
pp_173531	6.487851153666667	6.375527168666666
pp_188956	3.101596571	3.1541697770000003
pp_166969	1.6632638123333334	1.6978729993333335
pp_171368	1.7359943549999999	1.675988175
pp_236247	30.593632316666667	31.037629516666666
pp_154993	43.68329978	44.39756339333333
pp_107537	1.3251184313333333	1.3671749283333334
pp_205840	6.179066217666667	6.005380739333333
pp_142038	35.02624362	33.64214847666667
pp_220765	44.20997236	43.570230753333334
pp_210110	2.196227694	2.237382261
pp_173183	1.6038180116666667	1.64029216
pp_155177	0.9203338463333334	0.9468492403333333
pp_36670	10.057676813666667	9.878057000333333
pp_183993	11.815402786666667	11.639040183333334
pp_227176	2.6063013653333336	2.565425141
pp_115464	3.945706674	3.884737698
pp_85471	2.2387456696666668	2.198441313
pp_97813	3.014157995666667	2.953422150333333
pp_64474	1.7263541366666666	1.7769000686666667
pp_148443	7.355854277666666	7.469490219333333
pp_138091	54.04529088	54.75171297
pp_110808	0.9844049173333334	1.015431277
pp_119532	2.865222197	2.7641509076666666
pp_127921	8.807661525666667	8.929297382333333
pp_132594	2.032713839	1.9951675256666668
pp_134725	1.4479358153333335	1.4145308733333333
pp_209169	216.98341933333333	221.84045343333332
pp_136833	1.8816881703333335	1.9252097786666666
pp_203210	1.436408398	1.4700944933333333
pp_203774	1.0331226806666667	0.9926652226666667
