	RM_C	RM_N
pp_210881	29.043696016666665	27.267405106666665
pp_72414	41.21430799633333	34.06157583666666
pp_181397	1.3190873633333333	1.4273140343333333
pp_138738	22.46027152	21.062375893333332
pp_71141	44.1334426	46.74511884333333
pp_168908	22.574038616666666	23.946121813333335
pp_144687	2.059786337333333	1.8802878733333332
pp_112201	3.110710876	2.8972191196666666
pp_213717	6.324667500333334	5.967683201
pp_203876	6.6885907829999995	6.1990399326666665
pp_152545	44.34245339333334	48.25665544
pp_111782	8.381090758	7.659990091
pp_120534	58.233921911	67.989384289
pp_56315	1.3017329926666668	1.1720673186666666
pp_209875	10.295829106666666	11.099187644666667
pp_224317	3.110016212	2.9214969213333335
pp_108716	0.8560056083333333	0.9463530863333334
pp_147761	9.262127291	9.989088289333333
pp_116052	1.4697105593333333	1.275569226
pp_93556	2.3720202703333335	1.9996591719999999
pp_86460	191.38593866666668	181.04748606666666
pp_179509	65.34450215333334	60.428819919999995
pp_94507	8.939751408	8.421076847333334
pp_183391	1.325372466	1.20279929
pp_64478	2.414640209	2.172203517
pp_128423	0.6865907356666667	0.6233714936666667
pp_222738	0.06942781766666667	0.05438435966666666
pp_152440	2.6905994783333336	3.0103403
pp_243101	5.512772183333333	5.089485306
pp_214821	4.458195036666667	4.756268225666667
pp_236943	184.37545133333333	172.93021136666667
pp_225119	1.115102568	1.221780057
pp_64393	8.417219445	9.115829494333333
pp_160881	4.1302160033333335	4.386562276
pp_214836	3.651509421666667	3.427240643
pp_234714	5.234565505333333	5.617739285333333
pp_119478	2.9110007576666668	3.3247489276666666
pp_233602	28.91724486	27.344229333333335
pp_239211	2.767240734	2.9470912836666665
pp_188676	8.539857871666667	9.038760381333333
pp_183973	0.6264334416666667	0.5270091713333334
pp_128887	12.975151455333334	10.369176989666666
pp_209323	37.80477346333333	35.432954523333336
pp_175051	37.637893473333335	35.489183233333335
pp_11561	2.0590009503333335	1.888533565
pp_100569	2.7503019676666667	2.578094726666667
pp_86595	3.328087971	3.1210877493333333
pp_194662	119.1277753	111.08256953333334
pp_128288	5.87203649	6.271912697333334
pp_179979	2.446375621	2.288872268
pp_72542	4.478173624	4.2162875626666665
pp_68192	0.6138034836666667	0.6904449556666666
pp_55507	43.10522766333334	46.07969797333334
pp_108433	18.10052869	19.27588173
pp_33185	192.51603366666666	204.26897926666666
pp_103859	1.2396779526666668	1.0651563976666667
pp_236171	0.6121650973333334	0.5212163323333333
pp_172405	12.778273966666667	13.566107026666668
pp_164149	1.5010679433333334	1.3788908203333334
pp_60191	0.018590346666666667	0.02537797933333333
pp_145799	1.2182127926666666	1.742816422
pp_246410	2.2140598836666667	2.0105086173333335
pp_213976	9.345744219333334	8.778151106
pp_199063	5.566171208666667	5.142487159
pp_179063	8.478755933666667	7.967177595333334
pp_57477	3.1716882576666667	2.8779829846666667
pp_153352	0.44547611833333334	0.5418386503333333
pp_108487	38.55625155333333	35.61440228666667
pp_159041	13.39940365	12.632220986666667
pp_158948	1.6843771963333334	1.8495738376666668
