	RC_C	RC_N
pp_57915	0.13879193066666667	0.0
pp_223762	0.08936465866666667	0.0
pp_216259	0.6091786663333334	16.681123224333334
pp_103825	0.024993557333333336	4.0332759183333335
pp_205335	1.0968914776666667	0.085010513
pp_116641	0.15256847133333334	0.004255714
pp_108894	0.10386128933333333	0.0
pp_216885	0.018128918333333334	5.039033307
pp_193026	2.0049157056666664	0.291301268
pp_173239	5.705419970666667	0.572347755
pp_216581	1.5372718663333333	6.720261999333333
pp_172935	0.513310097	0.097940919
pp_82156	0.07938768333333333	0.0
pp_179862	1.939361574	0.5290540573333333
pp_84865	0.42686735833333334	2.4098783106666666
pp_58115	0.233694034	0.0
pp_188157	25.540608640000002	8.112700650333334
pp_119529	1.0358194103333334	0.229713579
pp_148341	1.4555683173333334	0.24156298666666665
pp_164248	0.932710731	0.10290039666666666
pp_227469	7.4090041473333335	2.3948286363333335
pp_152853	0.23667092933333334	1.675306522
pp_227484	5.553613284333333	1.848876794
pp_120430	76.85587479666667	27.429878693333333
pp_58940	0.113223447	0.0
pp_236573	0.907592139	0.184350172
pp_134520	0.245997874	0.01810385533333333
pp_168468	4.4734724403333335	0.12528092633333332
pp_128653	0.521751684	1.9813527053333333
pp_157742	0.7243045766666667	0.14194750766666667
pp_243771	0.6436698223333334	0.07040790066666668
pp_216125	3.2919181016666665	0.29307150266666665
pp_94631	2.895865963	0.4989351773333333
pp_58532	4.155964651666666	1.252060192
pp_94620	2.9469549853333334	0.4506343403333333
pp_236575	0.7160929806666667	0.138558821
pp_95532	16.936527380666668	0.6397156610000001
pp_245699	0.10402119566666666	0.943697183
pp_94634	25.905482063333334	4.539629073666667
pp_148069	1.0429931393333334	18.84387917633333
pp_215536	0.7396440056666667	13.891450687333332
pp_58060	0.07134838433333333	0.0
pp_66838	9.569487048333333	0.05314454166666667
